Model,Model Version,Prompt,Artist Palette,File Name
Midjourney,6,Lunacy by Paul Henry and Frederic Edwin Church,Paul Henry|Frederic Edwin Church,flathers_Lunacy_by_Paul_Henry_and_Frederic_Edwin_Church_--ar_32_326b772e-8cdb-4490-95b5-5a821852386c.png
Midjourney,6,Lunacy by Georges Lacombe,Georges Lacombe,flathers_Lunacy_by_Georges_Lacombe_--ar_32_ac6eca6b-5023-4afb-a165-1900f1e15847.png
Midjourney,6,Lunacy by Gustave Doré,Gustave Doré,flathers_Lunacy_by_Gustave_Dor_--ar_32_8df2fcd7-bb48-4f27-ba71-1fdc29c3030b.png
Midjourney,6,Lunacy by Chuck Close,Chuck Close,flathers_Lunacy_by_Chuck_Close_--ar_169_0cf45232-fdad-4558-9ad3-3323962f6ba7.png
Midjourney,6,Lunacy by Maximilien Luce,Maximilien Luce,flathers_Lunacy_by_Maximilien_Luce_--ar_169_af5c3085-f47f-44ac-8b9a-2ab61700774c.png
Midjourney,6,Lunacy by Konstantin Korovin,Konstantin Korovin,flathers_Lunacy_by_Konstantin_Korovin_--ar_169_5a5442ba-f3b4-4be1-bc77-779af8241d78.png
Midjourney,6,Lunacy by Childe Hassam,Childe Hassam,flathers_Lunacy_by_Childe_Hassam_--ar_32_476cc1be-238e-4e62-86e2-ce8f2a742fa5.png
Midjourney,6,Lunacy by Ravi Zupa and Félix Vallotton,Ravi Zupa|Félix Vallotton,flathers_Lunacy_by_Ravi_Zupa_and_Felix_Vallotton_--ar_32_2604ff65-13b0-48c4-9236-a5ffdf9d2a7a.png
Midjourney,6,Lunacy by Alessandro Gottardo and Claude Monet,Alessandro Gottardo|Claude Monet,flathers_Lunacy_by_Alessandro_Gottardo_and_Claude_Monet_--ar_32_9d7ffbdd-2d39-4807-be11-0db819b2bb3d.png
Midjourney,6,Lunacy by Hannah Höch and Félix Vallotton,Hannah Höch|Félix Vallotton,flathers_Lunacy_by_Hannah_Höch_and_Felix_Vallotton_--ar_32_481442b5-6ccd-4b15-b110-ad62842265a2.png
Midjourney,6,Lunacy by Hannah Höch,Hannah Höch,flathers_Lunacy_by_Hannah_Höch_--ar_32_92079b54-fa8e-40e7-81bd-ad835a49be86.png
Midjourney,6,Lunacy by Aaron Douglas and Claude Monet,Aaron Douglas|Claude Monet,flathers_Lunacy_by_Aaron_Douglas_and_Claude_Monet_--ar_32_9c885ded-fa07-42b4-a0b9-2770aff51494.png
Midjourney,6,Lunacy by Paul Henry and Claude Monet,Paul Henry|Claude Monet,flathers_Lunacy_by_Paul_Henry_and_Claude_Monet_--ar_169_2a7f9e98-a3f8-4eac-9fdb-f4f8926b1921.png
Midjourney,6,Lunacy by Lewis Hine and James McNeil Whistler,Lewis Hine|James McNeil Whistler,flathers_Lunacy_by_Lewis_Hine_and_James_McNeil_Whistler_--ar_16_3e3bcc36-5cea-40b9-b23c-2162a8e4c8c1.png
Midjourney,6,Lunacy by Kazimir Malevich and Wassily Kandinsky,Kazimir Malevich|Wassily Kandinsky,flathers_Lunacy_by_Kazimir_Malevich_and_Wassily_Kandinsky_--a_453c4336-38c7-49d5-8afb-c1cf3636132f_2.png
Midjourney,6,Lunacy by Wassily Kandinsky and Jacob August Riis,Wassily Kandinsky|Jacob August Riis,flathers_Lunacy_by_Wassily_Kandinsky_and_Jacob_August_Riis_--ar_1fad2695-b84b-471e-a4bd-708cbba443b7.png
Midjourney,6,Lunacy by Hilma af Klint,Hilma af Klint,flathers_Lunacy_by_Hilma_af_Klint_--ar_32_8da0b270-b65b-40d9-84a9-e558c630fc64.png
Midjourney,6,Lunacy by Jackson Pollock,Jackson Pollock,flathers_Lunacy_by_Jackson_Pollock_--ar_169_5568abf4-e63a-4935-8e3f-f993aa07e73b.png
Midjourney,6,Lunacy by Clyfford Still,Clyfford Still,flathers_Lunacy_by_Clyfford_Still_--ar_169_ad8973f5-ca28-451f-a7f1-d281ef63b387.png
Midjourney,6,Lunacy by Eric Ravilious,Eric Ravilious,flathers_Lunacy_by_Eric_Ravilious_--ar_169_e5122796-d5bf-4130-9830-3d648638c5ae.png
Midjourney,6,Lunacy by Aïda Muluneh,Aïda Muluneh,flathers_Lunacy_by_Ada_Muluneh_--ar_169_e9dcbd6b-8fe1-42e0-9edb-2a24c0e949b6.png
Midjourney,6,Lunacy by Henri Cartier-Bresson,Henri Cartier-Bresson,flathers_Lunacy_by_Henri_Cartier-Bresson_--ar_169_2b4bfe7e-5974-49cf-924f-ccf1f3e59a37.png
Midjourney,6,Lunacy by Yuri Pimenov,Yuri Pimenov,flathers_Lunacy_by_Yuri_Pimenov_--ar_169_61b426d8-7010-457d-83ca-f40fbcf03724.png
Midjourney,6,Lunacy by Henri-Edmond Cross,Henri-Edmond Cross,flathers_Lunacy_by_Henri-Edmond_Cross_--ar_169_4d7c8131-506c-40eb-af74-aba0cecfbd46.png
Midjourney,6,Lunacy by Josef Albers,Josef Albers,flathers_Lunacy_by_Josef_Albers_--ar_169_fc641eaa-59b3-4ad6-8e8b-048a2c343c8e.png
Midjourney,6,Lunacy by Josef Albers,Josef Albers,flathers_Lunacy_by_Josef_Albers_--ar_169_eb101cfa-2b1d-46e5-82e5-0b6bbe6ede11.png
Midjourney,6,Lunacy by Wassily Kandinsky,Wassily Kandinsky,flathers_Lunacy_by_Wassily_Kandinsky_--ar_169_10a2167f-a8b3-4194-85aa-da3c8c216a97.png
