Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
695440,The Tree of Knowledge: The Biological Roots of Human Understanding,Humberto R. Maturana,"Maturana, Humberto R.",Francisco J. Varela,"=""0877736421""","=""9780877736424""",0,4.20,Shambhala,Paperback,272,1992,1984,,2023/12/25,to-read,to-read (#728),to-read,,,,0,0
695442,"Autopoiesis and Cognition: The Realization of the Living (Boston Studies in the Philosophy of Science, Vol. 42)",Humberto R. Maturana,"Maturana, Humberto R.",Francisco J. Varela,"=""9027710163""","=""9789027710161""",0,4.28,D. Reidel Publishing Company,Paperback,171,1980,1973,,2023/12/25,to-read,to-read (#727),to-read,,,,0,0
3347853,The Crazy Ape,Albert Szent-Györgyi,"Szent-Györgyi, Albert",,"=""080652930X""","=""9780806529301""",0,3.83,Philosophical Library,Paperback,96,1970,1970,,2023/12/23,to-read,to-read (#726),to-read,,,,0,0
9331,The House of the Spirits,Isabel Allende,"Allende, Isabel",,"=""0553273914""","=""9780553273915""",5,4.28,Bantam,Mass Market Paperback,433,1986,1982,2023/08/22,2023/08/11,matts-recommended,matts-recommended (#15),read,"The first book to make me cry multiple times since the Goldfinch by Donna Tartt. This sweeping family epic is certainly one of my favorite books I’ve read in 2023, and likely will continue creeping up my all time rankings as I find myself ambiently thinking of this book often. Very few books honestly capture humans in their full contradiction and complexity, but this book does it for generation after generation of characters. A masterpiece of magical realism and literature, with thought provoking political, romantic, and ethical subplots, I only wish I could read Spanish to fully understand the depth of this novel.",,,1,0
1694503,Platform for Change,Stafford Beer,"Beer, Stafford",,"=""0471948403""","=""9780471948407""",0,4.20,Wiley,Paperback,,1995,1975,,2023/12/22,to-read,to-read (#725),to-read,,,,0,0
1304488,Brain of the Firm,Stafford Beer,"Beer, Stafford",,"=""047194839X""","=""9780471948391""",0,4.36,Wiley,Paperback,432,1995,1972,,2023/12/22,to-read,to-read (#724),to-read,,,,0,0
2104355,Memory of Fire,Eduardo Galeano,"Galeano, Eduardo",Cedric Belfrage,"=""0704302195""","=""9780704302198""",0,4.42,Quartet Books,Paperback,919,1995,1988,,2023/12/21,to-read,to-read (#723),to-read,,,,0,0
6149162,Mirrors: Stories of Almost Everyone,Eduardo Galeano,"Galeano, Eduardo",,"=""1568584237""","=""9781568584232""",0,4.37,Nation Books,Hardcover,391,2009,1993,,2023/12/21,to-read,to-read (#722),to-read,,,,0,0
9490,The Book of Embraces,Eduardo Galeano,"Galeano, Eduardo","Cedric Belfrage, Mark Schafer","=""0393308553""","=""9780393308556""",0,4.34,W.W. Norton & Company,Paperback,288,1992,1989,,2023/12/21,to-read,to-read (#721),to-read,,,,0,0
287585,Course in General Linguistics,Ferdinand de Saussure,"Saussure, Ferdinand de",Roy Harris,"=""0812690230""","=""9780812690231""",0,3.97,Open Court,Paperback,236,1998,1916,,2023/12/21,to-read,to-read (#720),to-read,,,,0,0
