Movie,Year,Plex Status,Source,IMDB ID,TMDB ID,Collections,Tags,Posters,,Matt,Gabe,Griffin,Dan,Andrew,Ice,Image
After the Sunset,2004,**Request,,tt0367479,10589,Action|Comedy|Crime,,,,,,,,,,
After Yang,2021,Yes,,tt8633464,585378,SciFi|Drama,,,,,,,,,,
Aftershock,2010,,,tt1393746,44560,History|Drama,Chinese,,,,,,,,,
Aftersun,2022,Yes,,tt19770238,965150,Drama,,,,,,,,,,
Agatha and the Curse of Ishtar,2019,Yes,,tt10964992,655730,Mystery,,,,,,,,,,
Agatha and the Midnight Murders,2020,Yes,,tt11062400,749395,Mystery,,,,,,,,,,
Agatha and the Truth of Murder,2018,Yes,,tt9381998,570352,Mystery,,,,,,,,,,
Agora,2009,Yes,,tt1186830,26428,History|Drama|Adventure,,,,,,,,,,
Aguirre The Wrath of God,1972,Yes,,tt0068182,2000,History,German,,,,,,,,,
Ahed's Knee,2021,***Request,,tt12494638,662029,Drama,Hebrew,,,,,,,,,
Air,2023,Yes,,tt16419074,964980,Drama|Sport,,,,,,,,,,
Air Bud,1997,Yes,,tt0118570,20737,Sports,,Sports,,,,,,,,
Air Force One,1997,,,tt0118571,9772,Action,,,,,,,,,,
Airplane!,1980,Yes,,tt0080339,813,Comedy,,Comedy,,,,,,,,
Akeelah and the Bee,2006,Yes,,tt0437800,13751,Family,,,,,,,,,,
Akira,1988,Yes,,tt0094625,149,Anime|SciFi|Action,,Anime,,,,,,,,
Aladdin,1992,Yes,,tt0103639,812,2D Animation,,2D Animation,,,,,,,,
Alexander,2004,**Request,,tt0346491,1966,Biopic|War,,,,,,,,,,
Alexander Nevsky,1938,****Request,,tt0029850,10235,Drama|History|War,Russian,,,,,,,,,
Alfie,2004,***Request,,tt0375173,8849,Romance,,,,,,,,,,
Algiers,1938,,PBS,tt0029855,22657,Romance|Mystery,,,,,,,,,,
Ali,2001,*Request,,tt0248667,8489,Sports|Biopic,,,,,,,,,,
Alice in Wonderland,1951,Yes,,tt0043274,12092,2D Animation,,,,,,,,,,
Alien,1979,Yes,,tt0078748,348,SciFi|Monster,,Monster,,,,,,,,
Alien 3,1992,,,tt0103644,8077,Horror|Monster,,,,,,,,,,
Alien: Covenant,2017,,,tt2316204,126889,Horror|Monster,,,,,,,,,,
Alien: Covenant,2017,,,tt2316204,126889,SciFi|Thriller,,,,,,,,,,
Alien: Resurrection,1997,,,tt0118583,8078,Horror|Monster,,,,,,,,,,
Alienoid,2022,Yes,,tt20168564,601796,Action|Adventure|SciFi|Fantasy,Korean,,,,,,,,,
Aliens,1986,Yes,,tt0090605,679,SciFi|Monster,,,,,,,,,,
Alita: Battle Angel,2019,,,tt0437086,399579,SciFi|Action,,,,,,,,,,
All About Eve,1950,*****Request,,tt0042192,705,Drama,,,,,,,,,,
All About Eve,2019,**Request,,tt9652730,578118,Drama,,,,,,,,,,
All I Want Is Christmas,2012,,,tt1847615,142303,Christmas,,,,,,,,,,
All My Puny Sorrows,2021,***Request,,tt13588156,782092,Drama,,,,,,,,,,
All Quiet on the Western Front,1930,Yes,,tt0020629,143,War,,1930s,,,,,,,,
All That Jazz,1979,*Request,,tt0078754,16858,Music,,,,,,,,,,
All The President's Men,1976,Yes,,tt0074119,891,Politics,,Politics,,,,,,,,
All Through the Night,1942,,,tt0034449,37036,,Propaganda,,,,,,,,,
Allegiant,2016,Yes,,tt3410834,262504,Apocalypse,Teen,,,,,,,,,
Almost Famous,2000,Yes,,tt0181875,786,Music|Dramedy,,,,,,,,,,
Aloha Scooby-Doo!,2005,,,tt0433771,24615,2D Animation,,,,,,,,,,
Alphaville,1965,*****Request,,tt0058898,8072,SciFi|Espionage,French,,,,,,,,,
Alvin and the Chipmunks,2007,**Request,,tt0952640,6477,Family|Music,,,,,,,,,,
Alvin and the Chipmunks: Chipwrecked,2011,,,tt1615918,55301,Family|Music,,,,,,,,,,
Alvin and the Chipmunks: The Road Chip,2015,,,tt2974918,258509,Family|Music,,,,,,,,,,
