Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2024-01-08,Bob Roberts,1992,https://boxd.it/5x7X27,4,,"<blockquote>The reason that Iran-Contra happened is because nobody did anything substantial about Watergate. And the reason that Watergate happened is that there were no consequences from the Bay of Pigs. They are all the same operatives, didn't you notice? The foot soldiers in the Bay of Pigs, the plumbers that got busted at Watergate, the gunrunners in Iran contra: they are all the same people. The same faces. Now it doesn't take a genius to make the connection here. A secret government beyond the control of the people and accountable to no-one.</blockquote><blockquote>And the closer we are to discovering the connection, the more the Congress turns a blind eye to it. ""We can't talk about that in open session!"" they say. ""National security reasons""</blockquote><blockquote>The truth lies dormant in their laps and they stay blind out of choice. A conspiracy of silence.</blockquote>
At multiple points I had to re-confirm that this movie was from ‘92. Holds up creepily well. Team America World Police may have made fun of Tim Robbins for this, but I think Robbins got the last laugh with a much sharper and lasting satire.",,2024-01-07
2024-01-10,The Iron Giant,1999,https://boxd.it/5yk6Kv,4.5,,"<blockquote>“If we don’t stick up for the cooks, who will?”</blockquote>Everything a family movie should be.",,2024-01-09
2024-01-12,Reservoir Dogs,1992,https://boxd.it/5zoAC9,3,,"<blockquote>“You don't need proof when you have instinct.”</blockquote>I get that the writing is supposed to be more crass and simple to reflect the characters, but I felt the result was that it left them underdeveloped. Great classic plot, good pacing, well edited. Just missing a little something.",,2024-01-12
2024-01-15,The Full Monty,1997,https://boxd.it/5B2P25,4.5,,"<blockquote>“They won’t say nowt about your personality neither. Which is good because you’re basically a bastard. Bollocks to your personality - this is what they’re looking at, right? And I’ll tell you summat mate. Anti-wrinkle cream there may be, but anti-fat-bastard cream there is none.”</blockquote>
I often struggle with British comedies, but this was incredibly enjoyable. I was impressed with its subtlety of acting juxtaposed with its outrageous situations.",,2024-01-14
2024-01-15,Mystery Team,2009,https://boxd.it/5B79qf,3.5,,"<blockquote>“When I was fifteen years old, when I got this job, I said to myself, ‘I am going to work here until the day that I kill myself.’""</blockquote>
I have absolutely no idea who this movie was made for, but I’m so happy it got made. Out of pocket is the only way to describe the comedy style, and aside from the bodily function humor which was hard to sit through, most of it landed.",,2024-01-14
2024-01-20,Mean Girls,2024,https://boxd.it/5DA28T,4,,Somehow feels like this was always made to be a Gen Z movie and now we have it in all its Tik Tok glory.,,2024-01-19
2024-01-25,The Third Man,1949,https://boxd.it/5G3TqH,4,,"<blockquote>“Not a sort of thing l should confess to a stranger, but you have to break the rules sometimes. Humanity - is a duty.”</blockquote>At multiple points I was impressed with the realistic emotions in the actors’ eyes. The zither in the score rocked and it came as no surprise that in a 2014 interview about the score of Grand Budapest Hotel, Wes Anderson said: “<i>I sort of also thought of Third Man with that Anton Karas theme using the zither. We didn't use it, but were inspired by it in a way.</i>” (Credit to Griffin for putting his finger on what the music reminded us of) 

Only note is there should be more stray cat scenes.",,2024-01-24
2024-01-26,Contact,1997,https://boxd.it/5GBRsJ,3.5,,"<blockquote>
“First rule in government spending: why build one when you can have two at twice the price?”</blockquote>Definitely my favorite use of oscilloscopes in film so far.",,2024-01-25
2024-02-04,The Day After Tomorrow,2004,https://boxd.it/5L0jAF,3.5,,"<blockquote>
“To England!”
”To Mankind!”
”To Manchester United!”</blockquote>The shots of the wave pouring through the streets of New York were awesome. I couldn’t get over how often Dennis Quaid sounds like Will Ferrel in this movie.",,2024-02-03
2024-03-03,Dune: Part Two,2024,https://boxd.it/5XEpxv,4.5,,"I’m always impressed by how Denis looks at things. His choice and framing of detail is remarkable. I love the way he strings together a series of close up shots of ginormous objects to communicate important details about how they function and move in space, while also giving a sense of massive scale that leaves a lot to the imagination to fill in.

I think there are some chemistry issues between Timothee and Zendaya but other than that I don’t really have any notes.",,2024-03-02
2024-03-10,War of the Worlds,2005,https://boxd.it/614I55,3,,"<blockquote>
This is not a war anymore than a war between men and maggots. This is an extermination</blockquote>Hot take, I like the ending. I didn’t like much about this movie other than its respect for Mother Nature.",,2024-03-09
2024-03-24,Licorice Pizza,2021,https://boxd.it/67y6od,3.5,,"It gave me the ick, but I also couldn’t stop watching.",,2024-03-23
2024-04-12,Cane Toads: An Unnatural History,1988,https://boxd.it/6gbomz,3.5,,"<blockquote>
“They’re mates as far as I’m concerned”</blockquote>For just 45 minutes of content they really pack a ton into this documentary. It is a real bummer how effectively destructive these toads have been as an invasive species, because otherwise they seem like great buddies for humans.",,2024-04-11
2024-05-15,The Da Vinci Code,2006,https://boxd.it/6tFrfj,2.5,,"<blockquote>
We are who we protect I think, what we stand up for</blockquote>Simply too long. Kinda fun if you can suspend your disbelief and just let the history parts wash over you without digging into them too much. The writing was bizarre, but some of that is Dan Brown’s fault. I am currently sporting the same hairstyle Tom Hanks has in this movie and I can’t say it’s working that well for either of us.",,2024-05-15
2024-06-15,Scary Movie,2000,https://boxd.it/6G3tFf,2,,Not my kind of movie,,2024-06-10
2024-06-15,Alone,2020,https://boxd.it/6G6bkJ,3.5,,"The plot was straightforward but the characters were much smarter than the average serial killer horror movie. Near the edge of my scary movie tolerance, but not too many scenes made me look away.",,2024-06-14
2024-07-04,Identity,2003,https://boxd.it/6NK8kz,2,,"Not a fan, I feel like a whole industry of bad DID movies is exemplified by this one.",,2024-06-28
2024-07-04,Punch-Drunk Love,2002,https://boxd.it/6NMaab,4.5,,"A movie all about spectrums. Really impressive non verbal acting, uncomfortably relatable at times.",,2024-07-04
